"filename", "language", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "XML", "JSON with Comments", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/proxy.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 3, 14, 93
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/placeholder.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/tailwind.config.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 57
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"/home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/types/types.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"Total", "-", 27, 1743, 6949, 7525, 20, 34, 20, 66, 215, 1195, 17794
